"Nom";"Licences - Entité";"Éditeur";"Versions - Nom";"Versions - Système d'exploitation";"Licences - Nombre d'installations";"Licences - Nombre de licences";
"Extensions d'image HEIF";"Root entity";"Microsoft Corporation";"1.0.31572.0";"Windows";"1";"0";
"Extensions d'image Webp";"Root entity";"Microsoft Platform Extensions";"1.0.31251.0";"Windows";"1";"0";
"Extensions d'image Webp";"Root entity";"Microsoft Corporation";"1.0.31251.0";"Windows";"1";"0";
"Extensions vidéo VP9";"Root entity";"Microsoft Platform Extensions";"1.0.31471.0";"Windows";"1";"0";
"Extensions vidéo VP9";"Root entity";"Microsoft Corporation";"1.0.31471.0";"Windows";"1";"0";
"Eye Control";"Root entity";"Microsoft Corporation";"10.0.18362.449";"Windows";"1";"0";
"Feedback Hub";"Root entity";"Microsoft Platform Extensions";"1.1907.3152.0";"Windows";"1";"0";
"Feedback Hub";"Root entity";"Microsoft Corporation";"1.2003.1472.0";"Windows";"1";"0";
"Flux du portail captif";"Root entity";"Microsoft Corporation";"10.0.19041.1
10.0.18362.449";"Windows";"2";"0";
"Fonctionnalités Famille Microsoft";"Root entity";"Microsoft Corporation";"1000.19041.1.0
1000.18362.449.0";"Windows";"2";"0";
"Foxit Reader";"Root entity";"Foxit Software Inc.";"9.6.0.25114";"Windows";"1";"0";
"FreeCommander XE";"Root entity";"Marek Jasinski";"";"Windows";"1";"0";
"FusionInventory Agent 2.5.2 (x64 edition)";"Root entity";"FusionInventory Team";"2.5.2";"Windows";"2";"0";
"GeoGebra Math Apps";"Root entity";"International GeoGebra Institute";"6.0.353";"Windows";"1";"0";
"Get Help";"Root entity";"Microsoft Platform Extensions";"10.2004.31291.0";"Windows";"1";"0";
"Get Help";"Root entity";"Microsoft Corporation";"10.2004.31291.0";"Windows";"1";"0";
"GIMP 2.10.12";"Root entity";"The GIMP Team";"2.10.12";"Windows";"1";"0";
"GIMP 2.10.18";"Root entity";"The GIMP Team";"2.10.18";"Windows";"1";"0";
"GlobalScan NX Server Edition";"Root entity";"RICOH";"2.5.6.0";"Windows";"1";"0";
"Google Chrome";"Root entity";"Google LLC";"84.0.4147.89
84.0.4147.105";"Windows";"1";"0";
"Google Chrome";"Root entity";"Google, Inc.";"84.0.4147.89
84.0.4147.105";"Windows";"1";"0";
"Google Earth Pro";"Root entity";"Google";"7.3.3.7699";"Windows";"1";"0";
"Google Update Helper";"Root entity";"Google LLC";"1.3.35.451";"Windows";"2";"0";
"GoPro Quik";"Root entity";"GoPro, Inc.";"0.1.841
2.6.2.841";"Windows";"2";"0";
"GoPro VR Player 3.0";"Root entity";"GoPro";"V3.0.5";"Windows";"1";"0";
"Groove Music";"Root entity";"Microsoft Platform Extensions";"10.20032.12611.0";"Windows";"1";"0";
"Groove Music";"Root entity";"Microsoft Corporation";"10.20022.11011.0";"Windows";"1";"0";
"Hewlett-Packard ACLM.NET v1.2.2.3";"Root entity";"Hewlett-Packard Company";"1.00.0000";"Windows";"1";"0";
"HiSuite";"Root entity";"Huawei Technologies Co.,Ltd";"32.410.08.00.06";"Windows";"1";"0";
"HiSuite";"Root entity";"";"";"Windows";"1";"0";
"HP Customer Experience Enhancements";"Root entity";"HP Development Company, L.P.";"6.0.12.1";"Windows";"1";"0";
"HP Hotkey Support";"Root entity";"HP Inc.";"6.2.50.1";"Windows";"1";"0";
"HP Hotkey Support";"Root entity";"Hewlett-Packard Company";"5.0.28.1";"Windows";"1";"0";
"HP Port Replicator Software Installer";"Root entity";"HP";"1.3.46";"Windows";"1";"0";
"HP Support Assistant";"Root entity";"HP Inc.";"8.8.26.13
8.8.28.13";"Windows";"1";"0";
"HP Support Assistant";"Root entity";"Hewlett-Packard Company";"7.7.34.34";"Windows";"1";"0";
"HP Support Solutions Framework";"Root entity";"HP Inc.";"12.16.22.11
12.17.27.5";"Windows";"2";"0";
"HP USB Port Replicator";"Root entity";"Hewlett-Packard";"7.9.339.0";"Windows";"1";"0";
"HP Wireless Button Driver";"Root entity";"Hewlett-Packard Company";"1.1.5.1";"Windows";"1";"0";
"illiPro";"Root entity";"Legrand";"20.50";"Windows";"1";"0";
"INDEX EDUCATION - Client PRONOTE 2019 - 64bit";"Root entity";"Index Education";"0.2.10";"Windows";"1";"0";
"InstallShield_{92FD45E2-3662-46F0-BE79-1BDAFADB395A}";"Root entity";"";"";"Windows";"1";"0";
"Intel(R) Chipset Device Software";"Root entity";"Intel Corporation";"10.1.1.40";"Windows";"1";"0";
"Intel(R) Management Engine Components";"Root entity";"Intel Corporation";"11.0.11.1193
11.6.0.1045
1.0.0.0";"Windows";"3";"0";
"Intel(R) ME UninstallLegacy";"Root entity";"Intel Corporation";"1.0.1.0";"Windows";"1";"0";
"Intel(R) PRO/Wireless Driver";"Root entity";"Intel Corporation";"21.10.0001.1488";"Windows";"1";"0";
"Intel(R) Processor Graphics";"Root entity";"Intel Corporation";"20.19.15.4835";"Windows";"1";"0";
"Intel(R) Rapid Storage Technology";"Root entity";"Intel Corporation";"14.8.16.1063";"Windows";"1";"0";
"Intel(R) Wireless Bluetooth(R)";"Root entity";"Intel Corporation";"20.110.0.3";"Windows";"1";"0";
"Intel® Trusted Connect Service Client";"Root entity";"Intel Corporation";"1.27.757.1
1.44.398.0";"Windows";"2";"0";
"Internet Explorer";"Root entity";"Microsoft Corporation";"11.388.19041.0
11.900.18362.0
11.959.18362.0";"Windows";"2";"0";
"Internet Explorer (64bit)";"Root entity";"Microsoft Corporation";"11.388.19041.0
11.900.18362.0
11.959.18362.0";"Windows";"2";"0";
"IP Video System Design Tool 10 v.10.0.0.1824";"Root entity";"www.jvsg.com";"";"Windows";"1";"0";
"iTunes";"Root entity";"Apple Inc.";"12.10.4.2";"Windows";"1";"0";
"Java 8 Update 241";"Root entity";"Oracle Corporation";"8.0.2410.7";"Windows";"1";"0";
"Java 8 Update 241 (64-bit)";"Root entity";"Oracle Corporation";"8.0.2410.7";"Windows";"1";"0";
"Java Auto Updater";"Root entity";"Oracle Corporation";"2.8.241.7";"Windows";"1";"0";
"KB4515383";"Root entity";"";"";"Windows";"1";"0";
"KB4515530";"Root entity";"";"";"Windows";"1";"0";
"KB4516115";"Root entity";"";"";"Windows";"1";"0";
"KB4517245";"Root entity";"";"";"Windows";"1";"0";
"KB4521863";"Root entity";"";"";"Windows";"1";"0";
"KB4524244";"Root entity";"";"";"Windows";"1";"0";
"KB4524569";"Root entity";"";"";"Windows";"1";"0";
"KB4528759";"Root entity";"";"";"Windows";"1";"0";
"KB4537759";"Root entity";"";"";"Windows";"1";"0";
"KB4538674";"Root entity";"";"";"Windows";"1";"0";
"KB4541338";"Root entity";"";"";"Windows";"1";"0";
"KB4552152";"Root entity";"";"";"Windows";"1";"0";
"KB4559309";"Root entity";"";"";"Windows";"2";"0";
"KB4560366";"Root entity";"";"";"Windows";"1";"0";
"KB4560959";"Root entity";"";"";"Windows";"1";"0";
"KB4561600";"Root entity";"";"";"Windows";"2";"0";
"KB4565483";"Root entity";"";"";"Windows";"1";"0";
"KB4565503";"Root entity";"";"";"Windows";"1";"0";
"KB4565554";"Root entity";"";"";"Windows";"1";"0";
"KB4565627";"Root entity";"";"";"Windows";"1";"0";
"KB4565633";"Root entity";"";"";"Windows";"1";"0";
"KB4566785";"Root entity";"";"";"Windows";"1";"0";
"KeePass Password Safe 2.43";"Root entity";"Dominik Reichl";"2.43";"Windows";"1";"0";
"Kit d’évaluation et de déploiement";"Root entity";"Microsoft Corporation";"8.59.25584";"Windows";"1";"0";
"Kits Configuration Installer";"Root entity";"Microsoft";"8.59.25584";"Windows";"1";"0";
"LAN Speed Test version 4.4.0";"Root entity";"Totusoft";"4.4.0";"Windows";"1";"0";
"Launchy 2.5";"Root entity";"Code Jelly";"";"Windows";"1";"0";
"LenovoEMC Storage Manager";"Root entity";"LenovoEMC";"1.4.14.34018";"Windows";"2";"0";
"LibreOffice 6.1.4.2";"Root entity";"The Document Foundation";"6.1.4.2";"Windows";"1";"0";
"LibreOffice 6.3.4.2";"Root entity";"The Document Foundation";"6.3.4.2";"Windows";"1";"0";
"LinuxLive USB Creator";"Root entity";"Thibaut Lauziere";"2.9";"Windows";"1";"0";
"Logiciel Intel® PROSet/Wireless";"Root entity";"Intel Corporation";"21.10.1";"Windows";"1";"0";
"Logiciel pour périphérique à chipset Intel®";"Root entity";"Intel(R) Corporation";"10.1.1.40";"Windows";"1";"0";
"Logitech Options";"Root entity";"Logitech";"8.20.329
8.0.863";"Windows";"2";"0";
"Mail and Calendar";"Root entity";"Microsoft Platform Extensions";"16005.12827.20560.0
16005.13110.41006.0";"Windows";"1";"0";
"Mail and Calendar";"Root entity";"Microsoft Corporation";"16005.13110.41006.0";"Windows";"1";"0";
"McAfee WebAdvisor";"Root entity";"McAfee, LLC";"4.1.1.123
4.1.1.133
4.1.1.140";"Windows";"1";"0";
"Mediatek Bluetooth";"Root entity";"Mediatek";"11.0.761.0";"Windows";"1";"0";
"Microsoft .Net Native Framework Package 1.6";"Root entity";"Microsoft Corporation";"1.6.27413.0";"Windows";"1";"0";
"Microsoft .Net Native Framework Package 1.7";"Root entity";"Microsoft Platform Extensions";"1.7.27413.0";"Windows";"1";"0";
"Microsoft .Net Native Framework Package 1.7";"Root entity";"Microsoft Corporation";"1.7.27413.0";"Windows";"1";"0";
"Microsoft .Net Native Framework Package 2.1";"Root entity";"Microsoft Corporation";"2.1.27427.0";"Windows";"1";"0";
"Microsoft .Net Native Framework Package 2.2";"Root entity";"Microsoft Platform Extensions";"2.2.27912.0";"Windows";"1";"0";
"Microsoft .Net Native Framework Package 2.2";"Root entity";"Microsoft Corporation";"2.2.27912.0";"Windows";"1";"0";
"Microsoft .Net Native Runtime Package 1.7";"Root entity";"Microsoft Platform Extensions";"1.7.27422.0";"Windows";"1";"0";
"Microsoft .Net Native Runtime Package 1.7";"Root entity";"Microsoft Corporation";"1.7.25531.0
1.7.27422.0";"Windows";"2";"0";
"Microsoft .Net Native Runtime Package 2.1";"Root entity";"Microsoft Corporation";"2.1.26424.0";"Windows";"1";"0";
"Microsoft .Net Native Runtime Package 2.2";"Root entity";"Microsoft Platform Extensions";"2.2.28604.0";"Windows";"1";"0";
"Microsoft .Net Native Runtime Package 2.2";"Root entity";"Microsoft Corporation";"2.2.27328.0
2.2.28604.0";"Windows";"2";"0";
"Microsoft Access MUI (French) 2013";"Root entity";"Microsoft Corporation";"15.0.4569.1506";"Windows";"1";"0";
"Microsoft Advertising SDK for XAML";"Root entity";"Microsoft Platform Extensions";"10.1811.1.0";"Windows";"1";"0";
"Microsoft Advertising SDK for XAML";"Root entity";"Microsoft Corporation";"10.1811.1.0";"Windows";"1";"0";
"Microsoft DCF MUI (French) 2013";"Root entity";"Microsoft Corporation";"15.0.4569.1506";"Windows";"1";"0";
"Microsoft Edge";"Root entity";"Microsoft Corporation";"84.0.522.40
84.0.522.44
44.18362.449.0
84.0.522.49
84.0.522.50
81.0.416.88
84.0.522.52";"Windows";"3";"0";
"Microsoft Edge";"Root entity";"Microsoft Platform Extensions";"44.19041.1.0
84.0.522.40
84.0.522.44
84.0.522.49
84.0.522.50
84.0.522.52";"Windows";"2";"0";
"Microsoft Edge Update";"Root entity";"";"1.3.133.5
1.3.127.15";"Windows";"2";"0";
"Microsoft Engagement Framework";"Root entity";"Microsoft Corporation";"10.0.19011.0";"Windows";"1";"0";
"Microsoft Excel MUI (French) 2013";"Root entity";"Microsoft Corporation";"15.0.4569.1506";"Windows";"1";"0";
"Microsoft Groove MUI (French) 2013";"Root entity";"Microsoft Corporation";"15.0.4569.1506";"Windows";"1";"0";
